file_id,title,current_parent_path,proposed_peca,proposed_subfolder,proposed_full_path,confidence,tags,rationale,mime_type,size_bytes,duplicate_of,flag_review
B2B-011,"GROK5 _ Projeções Previdenciárias 2027–2030 (Dados oficiais + first-principles · Abril 2026).pdf","B2B - ADVOGADOS/",8,08F_MERCADO_ADVOCACIA_BRASILEIRA,08_JURIDICO_FIREWALL_OAB/08F_MERCADO_ADVOCACIA_BRASILEIRA/,0.80,"dossie-externo;grok;projecoes;first-principles;2027-2030","Projeções mercado previdenciário",pdf,1854446,,false
B2B-012,"GROK6 _ Impacto da IA na Judicialização Previdenciária (Dados primários – Abril 2026).pdf","B2B - ADVOGADOS/",8,08F_MERCADO_ADVOCACIA_BRASILEIRA,08_JURIDICO_FIREWALL_OAB/08F_MERCADO_ADVOCACIA_BRASILEIRA/,0.85,"dossie-externo;grok;judicializacao;ia-impacto;dados-primarios","IA × judicialização previdenciária",pdf,1878782,,false
B2B-013,"GROK7 _ Casos Complexos Previdenciários e o Papel da IA (Abril 2026).pdf","B2B - ADVOGADOS/",8,08F_MERCADO_ADVOCACIA_BRASILEIRA,08_JURIDICO_FIREWALL_OAB/08F_MERCADO_ADVOCACIA_BRASILEIRA/,0.82,"dossie-externo;grok;casos-complexos;ia","Casos complexos + papel IA",pdf,1871751,,false
B2B-014,"PERPLEXITY _ Dossie_Advocacia_Previdenciaria_2026.pdf","B2B - ADVOGADOS/",8,08F_MERCADO_ADVOCACIA_BRASILEIRA,08_JURIDICO_FIREWALL_OAB/08F_MERCADO_ADVOCACIA_BRASILEIRA/,0.85,"dossie-externo;perplexity;advocacia-previdenciaria;duplicata-pdf","PDF duplicata do .md canônico B2B-015",pdf,867143,B2B-015,false
B2B-015,"PERPLEXITY _ Dossie_Advocacia_Previdenciaria_2026.md","B2B - ADVOGADOS/",8,08F_MERCADO_ADVOCACIA_BRASILEIRA,08_JURIDICO_FIREWALL_OAB/08F_MERCADO_ADVOCACIA_BRASILEIRA/,0.88,"dossie-externo;perplexity;advocacia-previdenciaria;canonical","Canônica markdown",md,38967,,false
B2B-016,"Jéssica Lorrane 2.jpg","B2B - ADVOGADOS/Due Dilligence/",7,07A_JURIDICO_DRA_JULIANA_MELO/correspondencia/marketplace-outras,07_EXERCITO_ESPECIALISTAS/07A_JURIDICO_DRA_JULIANA_MELO/correspondencia/marketplace-outras/,0.60,"jessica-lorrane;contem-terceiro-nominal;imagem;dd","Imagem DD Jessica Lorrane (advogada marketplace 3a)",jpg,812585,,true
B2B-017,"Juliana  Alencar 2.jpg","B2B - ADVOGADOS/Due Dilligence/",7,07A_JURIDICO_DRA_JULIANA_MELO/correspondencia/alencar-historico,07_EXERCITO_ESPECIALISTAS/07A_JURIDICO_DRA_JULIANA_MELO/correspondencia/alencar-historico/,0.60,"juliana-alencar;contem-terceiro-nominal;imagem;dd;ciclo-encerrado","Imagem DD Alencar — ciclo fundacional encerrado",jpg,828252,,true
B2B-018,"Jéssica Lorrane.jpg","B2B - ADVOGADOS/Due Dilligence/",7,07A_JURIDICO_DRA_JULIANA_MELO/correspondencia/marketplace-outras,07_EXERCITO_ESPECIALISTAS/07A_JURIDICO_DRA_JULIANA_MELO/correspondencia/marketplace-outras/,0.60,"jessica-lorrane;contem-terceiro-nominal;imagem;dd","Imagem DD Jessica Lorrane",jpg,748807,,true
B2B-019,"Juliana Alencar 1.jpg","B2B - ADVOGADOS/Due Dilligence/",7,07A_JURIDICO_DRA_JULIANA_MELO/correspondencia/alencar-historico,07_EXERCITO_ESPECIALISTAS/07A_JURIDICO_DRA_JULIANA_MELO/correspondencia/alencar-historico/,0.60,"juliana-alencar;contem-terceiro-nominal;imagem;dd;ciclo-encerrado","Imagem DD Alencar",jpg,1048129,,true
B2B-020,"Juliana Alencar  3.jpg","B2B - ADVOGADOS/Due Dilligence/",7,07A_JURIDICO_DRA_JULIANA_MELO/correspondencia/alencar-historico,07_EXERCITO_ESPECIALISTAS/07A_JURIDICO_DRA_JULIANA_MELO/correspondencia/alencar-historico/,0.60,"juliana-alencar;contem-terceiro-nominal;imagem;dd;ciclo-encerrado","Imagem DD Alencar",jpg,746312,,true
B2B-021,"2026 04 13 18 37 44 _ Juliana Melo _ café.txt","B2B - ADVOGADOS/Due Dilligence/",7,07A_JURIDICO_DRA_JULIANA_MELO/correspondencia,07_EXERCITO_ESPECIALISTAS/07A_JURIDICO_DRA_JULIANA_MELO/correspondencia/,0.85,"juliana-melo;cafe;transcricao;dd;abril-2026","Transcrição/notas reunião café DD com Juliana Melo em 13/04/2026",txt,21696,,false
B2B-022,"20260413_BRIDGE_COMP_encerramento-ciclo-juliana-alencar_v1.0.md","B2B - ADVOGADOS/Due Dilligence/",7,07A_JURIDICO_DRA_JULIANA_MELO/correspondencia/alencar-historico,07_EXERCITO_ESPECIALISTAS/07A_JURIDICO_DRA_JULIANA_MELO/correspondencia/alencar-historico/,0.95,"encerramento-ciclo;alencar;bridge-doc;founder-decisao;contem-terceiro-nominal;2026-04-13","Documento formal de encerramento parceria Alencar assinado pelo Founder — preservar como registro histórico definitivo",md,6843,,true
B2B-023,"2026 04 14 17 50 03 JULIANA MELO.txt","B2B - ADVOGADOS/Due Dilligence/",7,07A_JURIDICO_DRA_JULIANA_MELO/correspondencia,07_EXERCITO_ESPECIALISTAS/07A_JURIDICO_DRA_JULIANA_MELO/correspondencia/,0.85,"juliana-melo;dd;transcricao;abril-2026","Transcrição DD Juliana Melo em 14/04/2026",txt,104385,,false
B2B-024,"2026 04 15 10 13 23 Juliana.pdf","B2B - ADVOGADOS/Due Dilligence/",7,07A_JURIDICO_DRA_JULIANA_MELO/correspondencia,07_EXERCITO_ESPECIALISTAS/07A_JURIDICO_DRA_JULIANA_MELO/correspondencia/,0.65,"juliana;dd;pdf;ambiguo","Nome ambíguo 'Juliana' (Melo ou Alencar?) — determinar por leitura de conteúdo",pdf,18242,,true
B2B-025,"GROK _ Dossiê sobre a Advocacia Brasileira       _        compilado.pdf","B2B - ADVOGADOS/",8,08F_MERCADO_ADVOCACIA_BRASILEIRA,08_JURIDICO_FIREWALL_OAB/08F_MERCADO_ADVOCACIA_BRASILEIRA/,0.85,"dossie-externo;grok;compilado;duplicata-pdf","PDF duplicata do .md canônico B2B-027 (14.6MB → provável versão escaneada/impressa)",pdf,14649927,B2B-027,false
B2B-026,"GROK _ Dossiê sobre a Advocacia Brasileira       _        compilado.txt","B2B - ADVOGADOS/",9,09Z_QUARENTENA_NAO_CLASSIFICADO,09_ARQUIVO_LEGADO/09Z_QUARENTENA_NAO_CLASSIFICADO/,0.30,"txt-3-bytes;stub-vazio;duplicata-stub","3 bytes — stub vazio, duplicata-órfã do compilado (B2B-027)",txt,3,B2B-027,true
B2B-027,"GROK _ Dossiê sobre a Advocacia Brasileira       _        compilado.md","B2B - ADVOGADOS/",8,08F_MERCADO_ADVOCACIA_BRASILEIRA,08_JURIDICO_FIREWALL_OAB/08F_MERCADO_ADVOCACIA_BRASILEIRA/,0.88,"dossie-externo;grok;compilado;canonical","Canônica markdown do compilado GROK",md,48701,,false
B2B-028,"PERPLEXITY _ Dossie_Crise_Advocacia_Brasil_2025    versão final  rev.2.md","B2B - ADVOGADOS/",8,08F_MERCADO_ADVOCACIA_BRASILEIRA,08_JURIDICO_FIREWALL_OAB/08F_MERCADO_ADVOCACIA_BRASILEIRA/,0.90,"dossie-externo;perplexity;rev2;canonical","Canônica rev.2 do dossiê Perplexity Crise Advocacia 2025",md,271272,,false
B2B-029,"PERPLEXITY _ Dossie_Crise_Advocacia_Brasil_2025    versão final.md","B2B - ADVOGADOS/",8,08F_MERCADO_ADVOCACIA_BRASILEIRA/deprecated,08_JURIDICO_FIREWALL_OAB/08F_MERCADO_ADVOCACIA_BRASILEIRA/deprecated/,0.80,"dossie-externo;perplexity;versao-antiga;deprecated","Versão antiga superseded pela rev.2 (B2B-028)",md,196421,,true
B2B-030,"PERPLEXITY _ Dossiê A Crise Estrutural da Advocacia Brasileira e o Agravante da Inteligência Artificial.md","B2B - ADVOGADOS/",8,08F_MERCADO_ADVOCACIA_BRASILEIRA,08_JURIDICO_FIREWALL_OAB/08F_MERCADO_ADVOCACIA_BRASILEIRA/,0.88,"dossie-externo;perplexity;crise-estrutural;ia-impacto;canonical","Canônica markdown — PDF B2B-004 é duplicata",md,218392,,false
B2B-031,"CLAUDE _ 20260413_RADAR_COMP_mc-oasis-no-caos-previdenciario-projecao-honorarios_v1.0.md","B2B - ADVOGADOS/",8,08F_MERCADO_ADVOCACIA_BRASILEIRA/analise-interna-mc,08_JURIDICO_FIREWALL_OAB/08F_MERCADO_ADVOCACIA_BRASILEIRA/analise-interna-mc/,0.88,"claude-radar;oasis-no-caos;projecao-honorarios;analise-interna;canonical","Análise estratégica interna MC baseada em 5 dossiês externos — projeção receita escritório parceiro. Pode cross-linkar para 03_ADR e 06 (Nubank LTV).",md,24513,,false
B2B-032,"CLAUDE _ 20260413_RADAR_COMP_mc-oasis-no-caos-previdenciario-projecao-honorarios_v1.0.pdf","B2B - ADVOGADOS/",8,08F_MERCADO_ADVOCACIA_BRASILEIRA/analise-interna-mc,08_JURIDICO_FIREWALL_OAB/08F_MERCADO_ADVOCACIA_BRASILEIRA/analise-interna-mc/,0.85,"duplicata-pdf","PDF duplicata de B2B-031",pdf,567760,B2B-031,false
B2B-033,"MC-ECOSSISTEMA-Modelo-Financeiro-v1_0-20260414.xlsx","B2B - ADVOGADOS/",2,02A_CANONICAS_VIGENTES,02_PLANILHAS_FINANCEIRAS_CANONICAS/02A_CANONICAS_VIGENTES/,0.85,"b2b;ecossistema;modelo-financeiro;premissas-inss;honorarios-30pct;jef;canonical","Modelo financeiro B2B ecossistema com premissas INSS/BEPS/TCU/JEF/honorários 30%. Nomenclatura MC- padrão. Feed direto Peça 2.",xlsx,23691,,false
B2B-034,"0 Plano de contratação para escritório previdenciário com IA  _ dados, modelos e dimensionamento.md","B2B - ADVOGADOS/",7,07A_JURIDICO_DRA_JULIANA_MELO/plano-contratacao,07_EXERCITO_ESPECIALISTAS/07A_JURIDICO_DRA_JULIANA_MELO/plano-contratacao/,0.82,"b2b;plano-contratacao;dimensionamento;ia-escritorio;cumpadre-advogados;canonical","Plano staffing escritório previdenciário com IA — feed direto para Cumpadre Advogados (holding Juliana Melo)",md,20105,,false
B2B-035,"0 Plano de contratação para escritório previdenciário com IA  _ dados, modelos e dimensionamento.pdf","B2B - ADVOGADOS/",7,07A_JURIDICO_DRA_JULIANA_MELO/plano-contratacao,07_EXERCITO_ESPECIALISTAS/07A_JURIDICO_DRA_JULIANA_MELO/plano-contratacao/,0.80,"duplicata-pdf","PDF duplicata de B2B-034",pdf,622933,B2B-034,false
B2B-036,"0 - Escritório Convencional × Escritório com IA × Meu Cumpadre.docx","B2B - ADVOGADOS/",4,04E_TAGLINE_AI_UNDER_HUMAN/comparativo_vs_legaltechs,04_DEFESA_ANTROPOLOGICA/04E_TAGLINE_AI_UNDER_HUMAN/comparativo_vs_legaltechs/,0.85,"comparativo;escritorio-convencional;escritorio-ia;meu-cumpadre;tagline;ai-under-human","Comparativo triplo — evidência diferenciação MC vs legaltechs vs convencional",docx,791140,,false
B2B-037,"CUMPADRE-ADVOGADOS-Manifesto-Recrutamento-Cultura-v1_0-20260414.docx","B2B - ADVOGADOS/",7,07A_JURIDICO_DRA_JULIANA_MELO/manifesto-cultura,07_EXERCITO_ESPECIALISTAS/07A_JURIDICO_DRA_JULIANA_MELO/manifesto-cultura/,0.78,"cumpadre-advogados;manifesto;recrutamento;cultura;holding","Manifesto cultura e recrutamento da holding Cumpadre Advogados — pode cross-linkar para 04F (Manifesto Dignidade)",docx,22930,,true
B2B-038,"0 MC-MANIFESTO-Parceria-B2B-Fundacional-v1_0-2026-0414.docx","B2B - ADVOGADOS/",7,07A_JURIDICO_DRA_JULIANA_MELO/manifesto-parceria,07_EXERCITO_ESPECIALISTAS/07A_JURIDICO_DRA_JULIANA_MELO/manifesto-parceria/,0.85,"manifesto-parceria-b2b;fundacional;melo;contrato;canonical","Manifesto fundacional da parceria B2B MC × Melo",docx,28505,,false
B2B-039,"CLAUDE para Advogados - Lucas USP - 2026-04-07 19-07-23.pdf","B2B - ADVOGADOS/Juliana Melo - material/WorkShops _ Juliana Melo/",9,09_ARQUIVO_LEGADO/workshops_ia_advogados,09_ARQUIVO_LEGADO/workshops_ia_advogados/,0.75,"workshop;lucas-usp;claude-advogados;contem-terceiro-nominal;treinamento-externo","Workshop externo USP — conteúdo de treinamento, fora do escopo direto duelo v3.0",pdf,289289,,true
B2B-040,"GIL FERNANDES 2026-04-10 13-33-26.pdf","B2B - ADVOGADOS/Juliana Melo - material/WorkShops _ Juliana Melo/",9,09_ARQUIVO_LEGADO/workshops_ia_advogados,09_ARQUIVO_LEGADO/workshops_ia_advogados/,0.75,"workshop;gil-fernandes;contem-terceiro-nominal;treinamento-externo","Workshop Gil Fernandes",pdf,341263,,true
B2B-041,"GIL FERNANDES 2026-04-11 13-16-39.pdf","B2B - ADVOGADOS/Juliana Melo - material/WorkShops _ Juliana Melo/",9,09_ARQUIVO_LEGADO/workshops_ia_advogados,09_ARQUIVO_LEGADO/workshops_ia_advogados/,0.75,"workshop;gil-fernandes;contem-terceiro-nominal;treinamento-externo","Workshop Gil Fernandes (2a ocorrência)",pdf,233745,,true
B2B-042,"ISMAEL PREV 2026-04-11 09-12-29.pdf","B2B - ADVOGADOS/Juliana Melo - material/WorkShops _ Juliana Melo/",9,09_ARQUIVO_LEGADO/workshops_ia_advogados,09_ARQUIVO_LEGADO/workshops_ia_advogados/,0.75,"workshop;ismael-prev;contem-terceiro-nominal;treinamento-externo","Workshop Ismael Prev",pdf,264128,,true
B2B-043,"ISMAEL PREV 2026-04-12 09-09-25.pdf","B2B - ADVOGADOS/Juliana Melo - material/WorkShops _ Juliana Melo/",9,09_ARQUIVO_LEGADO/workshops_ia_advogados,09_ARQUIVO_LEGADO/workshops_ia_advogados/,0.75,"workshop;ismael-prev;contem-terceiro-nominal;treinamento-externo","Workshop Ismael Prev (2a ocorrência)",pdf,563958,,true
B2B-044,"GIL FERNANDES 2026-04-11 10-20-25.pdf","B2B - ADVOGADOS/Juliana Melo - material/WorkShops _ Juliana Melo/",9,09_ARQUIVO_LEGADO/workshops_ia_advogados,09_ARQUIVO_LEGADO/workshops_ia_advogados/,0.75,"workshop;gil-fernandes;contem-terceiro-nominal;treinamento-externo","Workshop Gil Fernandes (3a ocorrência)",pdf,161964,,true
B2B-045,"Acesso ao PJe _ andamento processo.ts","B2B - ADVOGADOS/Juliana Melo - material/WorkShops _ Juliana Melo/",1,01D_RETRY_GOV_BR_MEU_INSS/pje_acesso,01_COGS_TEMPO_HOMEM/01D_RETRY_GOV_BR_MEU_INSS/pje_acesso/,0.60,"pje;automacao;typescript;acesso-gov;extensao-escopo","Código TS 11MB automação PJe. Extensão do 01D (originalmente só INSS/gov.br) para PJe-TJ. Avaliar se merece subpasta dedicada ou vai 09_LEGADO.",ts,11317600,,true
B2B-046,"Instagram.JPG","B2B - ADVOGADOS/Juliana Melo - material/",7,07A_JURIDICO_DRA_JULIANA_MELO/correspondencia,07_EXERCITO_ESPECIALISTAS/07A_JURIDICO_DRA_JULIANA_MELO/correspondencia/,0.75,"instagram;juliana-melo;social-screenshot","Screenshot Instagram Juliana Melo — evidência pegada digital da parceira",jpg,99874,,false
B2B-047,"MC-PARTNER-JulianaMelo-Qualificacao-v1_0-2026-0417.md.pdf","B2B - ADVOGADOS/Juliana Melo - material/",7,07A_JURIDICO_DRA_JULIANA_MELO/deprecated,07_EXERCITO_ESPECIALISTAS/07A_JURIDICO_DRA_JULIANA_MELO/deprecated/,0.92,"qualificacao-melo;v1_0;deprecated;erro-material;duplicata-pdf","PDF da v1.0 OBSOLETA (erro material corrigido na v1.1 B2B-049)",pdf,627580,B2B-048,true
B2B-048,"MC-PARTNER-JulianaMelo-Qualificacao-v1_0-2026-0417.md","B2B - ADVOGADOS/Juliana Melo - material/",7,07A_JURIDICO_DRA_JULIANA_MELO/deprecated,07_EXERCITO_ESPECIALISTAS/07A_JURIDICO_DRA_JULIANA_MELO/deprecated/,0.95,"qualificacao-melo;v1_0;deprecated;erro-material","Markdown v1.0 — OBSOLETA por erro material (afirmava '0/10 BLOQUEADO' em previdenciário). Substituída pela v1.1.",md,25539,,true
B2B-049,"MC-PARTNER-JulianaMelo-Qualificacao-v1_1-2026-0418.md","B2B - ADVOGADOS/Juliana Melo - material/",7,07A_JURIDICO_DRA_JULIANA_MELO/qualificacao,07_EXERCITO_ESPECIALISTAS/07A_JURIDICO_DRA_JULIANA_MELO/qualificacao/,0.95,"qualificacao-melo;v1_1;canonical;ativa;oab-go-38662;marketplace-etico","CANÔNICA — qualificação oficial Dra. Juliana Pereira de Melo (OAB-GO 38.662), aprovada por Alessandro em 18/04/2026. Reintroduz Alencar e Lorrane como marketplace.",md,8457,,false
B2B-050,"ANOTAÇÕES SOBRE B2B _ PARCERIA ADVOGADA.docx","B2B - ADVOGADOS/",7,07A_JURIDICO_DRA_JULIANA_MELO/notas-parceria,07_EXERCITO_ESPECIALISTAS/07A_JURIDICO_DRA_JULIANA_MELO/notas-parceria/,0.55,"b2b;parceria;notas;ciclo-incerto","Notas parceria advogada — MD5 distinto do homônimo com prefixo '0 ' (B2B-001). Ambos preservados, flag Founder.",docx,7740,,true
B2B-051,"Mapa Completo de Serviços Jurídicos de Caixa Rápido no Brasil 2025-2026.pdf","B2B - ADVOGADOS/Prateleira Serviços _ Nicho + Rápido/",5,05C_ADVOGADO_INTERIOR,05_ANCORA_R12k_JORNADA_CONVENCIONAL/05C_ADVOGADO_INTERIOR/,0.85,"dossie-externo;mapa-servicos;caixa-rapido;benchmark-precos;duplicata-pdf","PDF duplicata do .md canônico B2B-052",pdf,717543,B2B-052,false
B2B-052,"Mapa Completo de Serviços Jurídicos de Caixa Rápido no Brasil 2025-2026.md","B2B - ADVOGADOS/Prateleira Serviços _ Nicho + Rápido/",5,05C_ADVOGADO_INTERIOR,05_ANCORA_R12k_JORNADA_CONVENCIONAL/05C_ADVOGADO_INTERIOR/,0.88,"dossie-externo;mapa-servicos;caixa-rapido;benchmark-precos;22-servicos;canonical","Canônica markdown — 22 serviços jurídicos com lead-to-cash e ticket por faixa. Feed direto 05C.",md,24335,,false
B2B-053,"MC-B2B Partnership Qualification_ Dra. Juliana Melo Strategic Alliance Framework.pdf","B2B - ADVOGADOS/Prateleira Serviços _ Nicho + Rápido/",7,07A_JURIDICO_DRA_JULIANA_MELO/qualificacao,07_EXERCITO_ESPECIALISTAS/07A_JURIDICO_DRA_JULIANA_MELO/qualificacao/,0.82,"partnership-qualification;melo;strategic-alliance;duplicata-pdf","PDF duplicata do .md canônico B2B-054",pdf,838795,B2B-054,false
B2B-054,"MC-B2B Partnership Qualification_ Dra. Juliana Melo Strategic Alliance Framework.md","B2B - ADVOGADOS/Prateleira Serviços _ Nicho + Rápido/",7,07A_JURIDICO_DRA_JULIANA_MELO/qualificacao,07_EXERCITO_ESPECIALISTAS/07A_JURIDICO_DRA_JULIANA_MELO/qualificacao/,0.85,"partnership-qualification;melo;strategic-alliance;canonical","Framework formal da aliança estratégica MC × Melo",md,72393,,false
B2B-055,"PROCURACAO JULIANA ALENCAR.docx","B2B - ADVOGADOS/Juliana Alencar/",7,07A_JURIDICO_DRA_JULIANA_MELO/correspondencia/alencar-historico,07_EXERCITO_ESPECIALISTAS/07A_JURIDICO_DRA_JULIANA_MELO/correspondencia/alencar-historico/,0.85,"procuracao;alencar;ciclo-encerrado;contem-terceiro-nominal","Procuração formal Alencar do ciclo antigo (ref caso JER001 citado em BRIDGE B2B-022)",docx,59006,,true
B2B-056,"PTT-20260415-WA0049 Juliana Alencar.txt","B2B - ADVOGADOS/Juliana Alencar/",7,07A_JURIDICO_DRA_JULIANA_MELO/correspondencia/alencar-historico,07_EXERCITO_ESPECIALISTAS/07A_JURIDICO_DRA_JULIANA_MELO/correspondencia/alencar-historico/,0.60,"ptt-whatsapp;alencar;fragmento;contem-terceiro-nominal","Transcrição PTT WhatsApp 241 bytes — fragmento, pouca evidência",txt,241,,true
B2B-057,"JULIANA ALENCAR COSTA OAB MA Nº 24186.md","B2B - ADVOGADOS/Juliana Alencar/",7,07A_JURIDICO_DRA_JULIANA_MELO/correspondencia/alencar-historico,07_EXERCITO_ESPECIALISTAS/07A_JURIDICO_DRA_JULIANA_MELO/correspondencia/alencar-historico/,0.92,"alencar-costa;oab-ma-24186;identificacao;cpf;contem-terceiro-nominal;lgpd","Identificação formal Juliana Alencar Costa (OAB-MA 24186, CPF, RG) — contém PII, tratamento LGPD",md,372,,true
B2B-058,"OAB  n.º 60.378 _  JÉSSICA LORRANE SOARES BARBOS.md","B2B - ADVOGADOS/Jessica Lorrane Soares/",7,07A_JURIDICO_DRA_JULIANA_MELO/correspondencia/marketplace-outras,07_EXERCITO_ESPECIALISTAS/07A_JURIDICO_DRA_JULIANA_MELO/correspondencia/marketplace-outras/,0.90,"jessica-lorrane;oab-go-60378;identificacao;contem-terceiro-nominal;canonical","Identificação formal Jessica Lorrane Soares Barbosa (OAB-GO 60.378) — 3a advogada do marketplace ético",md,108,,true
B2B-059,"0 - Escritório Convencional × Escritório com IA × Meu Cumpadre.pdf","B2B - ADVOGADOS/",4,04E_TAGLINE_AI_UNDER_HUMAN/comparativo_vs_legaltechs,04_DEFESA_ANTROPOLOGICA/04E_TAGLINE_AI_UNDER_HUMAN/comparativo_vs_legaltechs/,0.85,"duplicata-pdf","PDF duplicata de B2B-036",pdf,178802,B2B-036,false
B2B-060,"OAB  n.º 60.378 _  JÉSSICA LORRANE SOARES BARBOS ADVOGADA DRA..md","B2B - ADVOGADOS/",7,07A_JURIDICO_DRA_JULIANA_MELO/correspondencia/marketplace-outras,07_EXERCITO_ESPECIALISTAS/07A_JURIDICO_DRA_JULIANA_MELO/correspondencia/marketplace-outras/,0.90,"jessica-lorrane;duplicata-exata;md5-identico","Duplicata EXATA (mesmo MD5) de B2B-058. Versão na raiz deve virar atalho.",md,108,B2B-058,true
COW-001,"MC-INVENTARIO-Drive-Cowork-v1_0-2026-0413.md","CLAUDE Cowork/",9,09_ARQUIVO_LEGADO/meta-varredura-anterior,09_ARQUIVO_LEGADO/meta-varredura-anterior/,0.85,"meta-varredura;cowork-scan-anterior;fase2","Inventário de varredura anterior do próprio Cowork — meta-doc, fora escopo duelo",md,16722,,false
COW-002,"MC-CURADORIA-Cowork-Fase2-v1_0-2026-0413.md","CLAUDE Cowork/",9,09_ARQUIVO_LEGADO/meta-varredura-anterior,09_ARQUIVO_LEGADO/meta-varredura-anterior/,0.85,"meta-varredura;curadoria;fase2","Curadoria fase 2 de varredura anterior do Cowork — meta-doc",md,12180,,false
